502601	218936
409022	163391
443168	260647
453828	152965
14220A5	183427
24868A4	292423
446999	297124
405979	224370
494658	226718
483535	225665
425273	243840
479679	269200
444740	194913
54895A3	196293
417872	174454
514185	182682
496512	233010
477151	251899
46023A2	162278
18998A2	238976
435232	166349
420381	243363
55821A1	171751
458620	283205
433212	245301
495882	240333
510951	254638
495080	281044
496164	242621
435787	247881
429920	291150
484767	236783
66601A3	249107
433688	229471
24532A5	246501
435145	269539
483819	276447
494635	243443
10822A2	276786
470764	235772
13253A4	211487
G41150	151406
D1013717	245814
43782A3	182688
461280	287251
403472	242678
510840	174000
39346A1	216050
431464	166138
451434	303262
421815	281190
480761	242485
454892	192785
418447	165382
492990	183589
431979	256228
48530A1	259709
514077	213279
506317	230355
53631A1	190370
505503	281822
439789	257552
412570	298751
416661	270279
65674A2	221825
443129	208764
489389	185704
40665A2	284090
463633	273351
481792	157067
31508A3	229904
458551	193732
469651	214954
413198	235664
55453A2	279581
15095A3	220710
495804	271898
9298A4	293665
10039A2	238113
487847	157040
13839A1	203406
468692	199410
496187	152392
441532	155958
28136A3	238924
459335	174164
482325	246461
489937	159588
G42312	199469
9010A3	203056
514328	231735
499804	251169
442674	303296
457003	197619
58481A2	284278
10943A2	186554
59204A2	266907
444043	155034
515310	301011
507100	233027
432760	153181
47611A1	186324
64195A5	260520
433689	264563
43209A2	295934
468834	167122
417237	295364
19845A2	248887
419637	159431
25545A2	160103
400970	160426
63467A1	250998
513916	224699
65939A1	272456
489204	270745
486155	278945
D1002343	173224
483799	207041
19898A5	257734
56285A2	210748
6984A1	153836
470709	265511
53746A2	183382
434113	247609
33291A1	212922
418689	203757
508384	240523
453808	170082
24899A3	169981
489823	252159
510748	209903
495443	215044
23899A3	262078
56017A1	224818
477963	244462
490655	162594
462183	246885
49086A1	173523
400039	164286
414343	284009
515323	303327
514981	270100
48677A3	206633
48393A2	282505
10746A1	291808
452827	202751
461411	166503
439464	244137
60448A1	297953
475952	275247
63559A1	216389
432325	293073
493053	270612
413501	179437
429405	163998
488837	197718
37848A3	287423
462667	177880
494057	264676
428449	282417
464796	204034
D1006409	218207
9732A2	207192
46752A4	157998
435695	303340
472477	222142
11280A6	217389
708A2	282103
3213A1	276555
486075	289379
409160	269243
481529	192709
505144	225318
439539	243135
9333A2	288157
435300	278270
65113a7	154278
432933	276622
409423	173255
434101	297629
476219	154384
446768	181933
494580	171455
433878	160813
11754A1	221847
49436A2	276150
36099A2	163494
459342	271629
433112	185595
513696	232972
464526	185452
55144A2	275637
400982	288269
36776A1	230451
56618A1	297604
60293A1	261889
42935A1	239086
55445A1	279297
495024	297630
486392	208434
60085A2	195192
41537A2	250529
60175A1	208585
451685	171927
58116A1	299809
432162	216936
57553A1	248484
43031A1	193282
D104413	183932
23401A4	288421
426452	170564
15230A6	278045
62807A1	286773
513414	299312
17136A6	237713
473413	169885
444956	215206
4983A4	177770
442696	248842
413393	280490
484318	283784
481278	241524
414046	296124
475215	152467
502740	244431
413223	271520
1311A1	171345
421740	200803
427728	218782
437635	223400
37230A2	294098
445625	295280
476877	235683
60961A1	158842
514868	188460
57730A2	189955
457457	176814
514903	245405
63226A2	159970
